parent_category,parent_basename,child_basenames,tier,score
office,winword.exe,powershell.exe|pwsh.exe|cmd.exe|wscript.exe|cscript.exe|mshta.exe|rundll32.exe|regsvr32.exe|certutil.exe|bitsadmin.exe|msiexec.exe|installutil.exe|msbuild.exe,critical,0.95
office,excel.exe,powershell.exe|pwsh.exe|cmd.exe|wscript.exe|cscript.exe|mshta.exe|rundll32.exe|regsvr32.exe|certutil.exe|bitsadmin.exe|msiexec.exe|installutil.exe|msbuild.exe,critical,0.95
office,powerpnt.exe,powershell.exe|pwsh.exe|cmd.exe|wscript.exe|cscript.exe|mshta.exe|rundll32.exe|regsvr32.exe|certutil.exe|bitsadmin.exe|msiexec.exe|installutil.exe|msbuild.exe,critical,0.95
browser,chrome.exe,powershell.exe|pwsh.exe|cmd.exe|wscript.exe|cscript.exe|mshta.exe|rundll32.exe|regsvr32.exe|certutil.exe|bitsadmin.exe|msiexec.exe|installutil.exe|msbuild.exe,critical,0.95
browser,msedge.exe,powershell.exe|pwsh.exe|cmd.exe|wscript.exe|cscript.exe|mshta.exe|rundll32.exe|regsvr32.exe|certutil.exe|bitsadmin.exe|msiexec.exe|installutil.exe|msbuild.exe,critical,0.95
browser,firefox.exe,powershell.exe|pwsh.exe|cmd.exe|wscript.exe|cscript.exe|mshta.exe|rundll32.exe|regsvr32.exe|certutil.exe|bitsadmin.exe|msiexec.exe|installutil.exe|msbuild.exe,critical,0.95
ai_coding_assistant,code.exe,powershell.exe|pwsh.exe|cmd.exe|wscript.exe|cscript.exe|mshta.exe|rundll32.exe|regsvr32.exe|certutil.exe|bitsadmin.exe|msiexec.exe|installutil.exe|msbuild.exe,critical,0.95
ai_coding_assistant,cursor.exe,powershell.exe|pwsh.exe|cmd.exe|wscript.exe|cscript.exe|mshta.exe|rundll32.exe|regsvr32.exe|certutil.exe|bitsadmin.exe|msiexec.exe|installutil.exe|msbuild.exe,critical,0.95
email_client,outlook.exe,powershell.exe|pwsh.exe|cmd.exe|wscript.exe|cscript.exe|mshta.exe|rundll32.exe|regsvr32.exe|certutil.exe|bitsadmin.exe|msiexec.exe|installutil.exe|msbuild.exe,critical,0.95
pdf_reader,acrord32.exe,powershell.exe|pwsh.exe|cmd.exe|wscript.exe|cscript.exe|mshta.exe|rundll32.exe|regsvr32.exe|certutil.exe|bitsadmin.exe|msiexec.exe|installutil.exe|msbuild.exe,critical,0.95
script_host,wscript.exe,powershell.exe|pwsh.exe|cmd.exe|mshta.exe,high,0.85
script_host,cscript.exe,powershell.exe|pwsh.exe|cmd.exe|mshta.exe,high,0.85
script_host,node.exe,powershell.exe|pwsh.exe|cmd.exe,high,0.85
lolbin,rundll32.exe,powershell.exe|pwsh.exe|cmd.exe,high,0.85
lolbin,regsvr32.exe,powershell.exe|pwsh.exe|cmd.exe,high,0.85
web_server,w3wp.exe,powershell.exe|pwsh.exe|cmd.exe,high,0.85
service_host,services.exe,powershell.exe|pwsh.exe|cmd.exe,medium,0.50
service_host,wmiprvse.exe,powershell.exe|pwsh.exe|cmd.exe,medium,0.50
service_host,spoolsv.exe,powershell.exe|pwsh.exe|cmd.exe,medium,0.50
service_host,taskhostw.exe,powershell.exe|pwsh.exe|cmd.exe,medium,0.50
service_host,svchost.exe,powershell.exe|pwsh.exe|cmd.exe,low,0.20
service_host,wermgr.exe,powershell.exe|pwsh.exe|cmd.exe,low,0.20
